,0,1,2,3,4,5,6,7,8,9,10,11
65,65,To All the Boys I've Loved Before,2020,13+,7.2,97%,1,0,0,0,Susan Johnson,99.0
66,66,Molly's Game,2017,18+,7.4,82%,1,0,0,0,Aaron Sorkin,140.0
67,67,Blackfish,2013,13+,8.1,98%,1,1,0,0,Gabriela Cowperthwaite,83.0
68,68,El Camino: A Breaking Bad Movie,2019,18+,7.4,91%,1,0,0,0,Vince Gilligan,122.0
69,69,The Invisible Guest,2016,18+,8.1,67%,1,0,0,0,Oriol Paulo,106.0
70,70,Song of the Sea,2014,7+,8.1,99%,1,0,0,0,Tomm Moore,93.0
71,71,End of Watch,2012,18+,7.6,85%,1,0,0,0,David Ayer,109.0
72,72,The Evil Dead,1981,18+,7.5,95%,1,0,0,0,Sam Raimi,85.0
73,73,About Time,2013,18+,7.8,68%,1,0,0,0,Richard Curtis,123.0
74,74,Kung Fu Hustle,2004,18+,7.7,90%,1,0,0,0,Stephen Chow,99.0
75,75,Blue Is the Warmest Color,2013,18+,7.7,89%,1,0,0,0,Abdellatif Kechiche,180.0
76,76,Y Tu Mamá También,2001,18+,7.6,92%,1,0,0,0,Alfonso Cuarón,106.0
77,77,The Naked Gun: From the Files of Police Squad!,1988,13+,7.6,87%,1,0,0,0,David Zucker,85.0
78,78,Mud,2013,13+,7.4,97%,1,0,0,0,Jeff Nichols,130.0
79,79,The Edge of Seventeen,2016,18+,7.3,94%,1,0,0,0,Kelly Fremon Craig,104.0
80,80,Philadelphia,1993,13+,7.7,80%,1,0,0,0,,22.0
81,81,Lagaan: Once Upon a Time in India,2001,7+,8.1,95%,1,0,0,0,Ashutosh Gowariker,224.0
82,82,Tucker and Dale vs. Evil,2010,18+,7.5,85%,1,0,0,0,Eli Craig,89.0
83,83,The Matrix Reloaded,2003,18+,7.2,73%,1,0,0,0,"Lana Wachowski,Lilly Wachowski",138.0
84,84,The Two Popes,2019,13+,7.6,89%,1,0,0,0,Fernando Meirelles,125.0
85,85,The Last Samurai,2003,18+,7.7,66%,1,0,0,0,Edward Zwick,154.0
