,0,1,2,3,4,5,6,7,8,9,10,11
64,16244,The Nightmare Before Christmas,1993,7+,8.0,95%,0,0,0,1,Henry Selick,76.0
65,16245,Black Panther,2018,13+,7.3,97%,0,0,0,1,Ryan Coogler,134.0
66,16246,Tangled,2010,7+,7.7,89%,0,0,0,1,"Nathan Greno,Byron Howard",100.0
67,16247,Wreck-It Ralph,2012,7+,7.7,87%,0,0,0,1,Rich Moore,101.0
68,16248,Ant-Man,2015,13+,7.3,83%,0,0,0,1,Peyton Reed,117.0
69,16249,Onward,2020,7+,7.5,88%,0,0,0,1,Dan Scanlon,102.0
70,16250,Avengers: Age of Ultron,2015,13+,7.3,75%,0,0,0,1,Joss Whedon,141.0
71,16251,Mary Poppins,1964,all,7.8,100%,0,0,0,1,Robert Stevenson,139.0
72,16252,Finding Dory,2016,7+,7.3,94%,0,0,0,1,"Andrew Stanton,Angus MacLane",97.0
73,16253,Who Framed Roger Rabbit,1988,7+,7.7,97%,0,0,0,1,"Robert Zemeckis,Richard Williams",104.0
74,16254,Mulan,1998,all,7.6,86%,0,0,0,1,Niki Caro,115.0
75,16255,Iron Man 3,2013,13+,7.2,79%,0,0,0,1,Shane Black,130.0
76,16256,The Sound of Music,1965,all,8.0,83%,0,0,0,1,Robert Wise,172.0
77,16257,Ice Age,2002,7+,7.5,77%,0,0,0,1,"Chris Wedge,Carlos Saldanha",81.0
78,16258,Cars,2006,all,7.1,75%,0,0,0,1,"John Lasseter,Joe Ranft",117.0
79,16259,Snow White and the Seven Dwarfs,1937,all,7.6,98%,0,0,0,1,"William Cottrell,David Hand,Wilfred Jackson,Larry Morey,Perce Pearce,Ben Sharpsteen",83.0
80,16260,Monsters University,2013,all,7.3,80%,0,0,0,1,Dan Scanlon,104.0
81,16261,Frozen II,2019,7+,6.9,77%,0,0,0,1,"Chris Buck,Jennifer Lee",103.0
82,16262,Togo,2019,7+,8.1,91%,0,0,0,1,Ericson Core,113.0
83,16263,A Bug's Life,1998,all,7.2,92%,0,0,0,1,"John Lasseter,Andrew Stanton",95.0
84,16264,The Jungle Book,1967,all,7.6,87%,0,0,0,1,Jon Favreau,106.0
85,16265,Remember the Titans,2000,7+,7.8,73%,0,0,0,1,Boaz Yakin,113.0
86,16266,Brave,2012,7+,7.1,78%,0,0,0,1,"Mark Andrews,Brenda Chapman,Steve Purcell",93.0
87,16267,The Simpsons Movie,2007,13+,7.3,88%,0,0,0,1,David Silverman,87.0
88,16268,Fantasia,1940,all,7.8,94%,0,0,0,1,"James Algar,Samuel Armstrong,Ford Beebe Jr.,Norman Ferguson,David Hand,Jim Handley,T. Hee,Wilfred Jackson,Hamilton Luske,Bill Roberts,Paul Satterfield,Ben Sharpsteen",125.0
89,16269,The Emperor's New Groove,2000,all,7.3,85%,0,0,0,1,Mark Dindal,78.0
90,16270,The Straight Story,1999,all,8.0,95%,0,0,0,1,David Lynch,112.0
91,16271,One Hundred and One Dalmatians,1961,all,7.2,98%,0,0,0,1,"Clyde Geronimi,Hamilton Luske,Wolfgang Reitherman",79.0
92,16272,Lady and the Tramp,1955,all,7.3,93%,0,0,0,1,Charlie Bean,103.0
93,16273,Pinocchio,1940,all,7.4,100%,0,0,0,1,Matteo Garrone,120.0
94,16274,Thor: The Dark World,2013,13+,6.9,66%,0,0,0,1,Alan Taylor,112.0
95,16275,Star Wars: The Last Jedi,2017,13+,7.0,90%,0,0,0,1,Rian Johnson,152.0
96,16276,Lilo & Stitch,2002,7+,7.2,86%,0,0,0,1,"Dean DeBlois,Chris Sanders",85.0
97,16277,Star Wars: The Rise of Skywalker,2019,13+,6.7,52%,0,0,0,1,J.J. Abrams,142.0
98,16278,Pirates of the Caribbean: Dead Man's Chest,2006,13+,7.3,53%,0,0,0,1,Gore Verbinski,151.0
99,16279,Bambi,1942,all,7.3,90%,0,0,0,1,"James Algar,Samuel Armstrong,David Hand,Graham Heid,Bill Roberts,Paul Satterfield,Norman Wright,Arthur Davis,Clyde Geronimi",70.0
100,16280,Captain Marvel,2019,13+,6.9,78%,0,0,0,1,"Anna Boden,Ryan Fleck",123.0
