,0,1,2,3,4,5,6,7,8,9,10,11
67,3602,Instant Family,2018,13+,7.3,81%,0,1,1,0,Sean Anders,118.0
68,3603,13 Assassins,2010,18+,7.6,95%,0,1,0,0,Takashi Miike,141.0
69,3604,The Host,2006,18+,7.1,93%,0,1,0,0,Bong Joon Ho,120.0
70,3605,Volver,2006,18+,7.6,91%,0,1,0,0,Pedro Almodóvar,121.0
71,3606,We Need to Talk About Kevin,2011,18+,7.5,75%,0,1,1,0,Lynne Ramsay,112.0
72,3607,Let Me In,2010,18+,7.1,88%,0,1,0,0,Matt Reeves,116.0
73,3608,Three Identical Strangers,2018,13+,7.7,97%,0,1,0,0,Tim Wardle,96.0
74,3609,A Simple Favor,2018,18+,6.8,85%,0,1,1,0,Paul Feig,117.0
75,3610,Creed II,2018,13+,7.1,84%,0,1,1,0,Steven Caple Jr.,130.0
76,3611,Loving Vincent,2017,13+,7.8,85%,0,1,0,0,"Dorota Kobiela,Hugh Welchman",94.0
77,3612,Megamind,2010,7+,7.2,72%,0,1,0,0,Tom McGrath,95.0
78,3613,Honeyland,2019,,8.0,100%,0,1,0,0,"Tamara Kotevska,Ljubomir Stefanov",89.0
79,3614,The Full Monty,1997,18+,7.2,96%,0,1,0,0,Peter Cattaneo,91.0
80,3615,Abominable,2019,7+,7.0,81%,0,1,1,0,"Jill Culton,Todd Wilderman",97.0
81,3616,The Chaser,2008,13+,7.9,82%,0,1,0,0,Hong-jin Na,125.0
82,3617,Hotel Mumbai,2018,18+,7.6,76%,0,1,0,0,Anthony Maras,123.0
83,3618,Nobody Knows,2004,13+,8.1,93%,0,1,0,0,Hirokazu Koreeda,141.0
84,3619,Ninja Scroll,1993,18+,7.9,93%,0,1,0,0,Yoshiaki Kawajiri,94.0
85,3620,Chicken Run,2000,all,7.0,97%,0,1,0,0,"Peter Lord,Nick Park",84.0
86,3621,Swingers,1996,18+,7.2,87%,0,1,0,0,Doug Liman,96.0
87,3622,"Food, Inc.",2008,7+,7.8,95%,0,1,0,0,Robert Kenner,94.0
88,3623,Embrace of the Serpent,2015,,7.9,96%,0,1,1,0,Ciro Guerra,125.0
89,3624,Melancholia,2011,18+,7.2,80%,0,1,0,0,Lars von Trier,135.0
90,3625,Minding the Gap,2019,18+,8.1,100%,0,1,0,0,Bing Liu,93.0
91,3626,The Second Mother,2015,18+,7.8,97%,0,1,1,0,Anna Muylaert,112.0
92,3627,Notes on a Scandal,2006,18+,7.4,87%,0,1,0,0,Richard Eyre,92.0
93,3628,Star Trek VI: The Undiscovered Country,1991,7+,7.2,82%,0,1,1,0,Nicholas Meyer,110.0
94,3629,Love & Mercy,2015,13+,7.4,90%,0,1,1,0,Bill Pohlad,121.0
95,3630,A Taxi Driver,2017,,7.8,96%,0,1,0,0,Hun Jang,137.0
96,3631,The Prince of Egypt,1998,7+,7.1,80%,0,1,0,0,"Brenda Chapman,Steve Hickner,Simon Wells",99.0
97,3632,Tickled,2016,18+,7.6,94%,0,1,0,0,"David Farrier,Dylan Reeve",92.0
98,3633,Sorry to Bother You,2018,18+,6.9,93%,0,1,0,0,Boots Riley,112.0
99,3634,The Way Back,2010,13+,7.3,74%,0,1,1,0,Gavin O'Connor,108.0
